profile,source_file,options,threads,workers,threads_per_worker,model_load_ms,case,questions,request_sha256,input_tokens,p50_ms,p95_ms,mean_ms,decisions_per_second,first_call_ms,max_rounded_probability_error,max_other_numeric_error,categorical_mismatch_count,matching_top_options,decisions,top_option_agreement
gpu-compiled-mixed-bf16,gpu-compiled-mixed-bf16.json,"{""capture_warmups"": 1, ""compile_model"": true, ""dtype"": ""mixed-bf16"", ""graphs"": true}",4,1,,2731.5680331084877,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,7.9656795132905245,8.00367621704936,7.95481518143788,125.71002307299918,36918.188891839236,0.0007000000000000339,0.0010999999999999899,0,1,1,1.0
gpu-compiled-mixed-bf16,gpu-compiled-mixed-bf16.json,"{""capture_warmups"": 1, ""compile_model"": true, ""dtype"": ""mixed-bf16"", ""graphs"": true}",4,1,,2731.5680331084877,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,87.39718655124307,87.77107308851555,87.42111424217,183.02214675138464,44698.32881912589,0.0013999999999999568,0.0018000000000000238,0,16,16,1.0
gpu-compiled,gpu-compiled.json,"{""capture_warmups"": 1, ""compile_model"": true, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2769.6105209179223,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,2.566984388977289,2.5842360802926123,2.569289389066398,389.2126765694423,36730.62942712568,0.0,9.999999999998899e-05,0,1,1,1.0
gpu-compiled,gpu-compiled.json,"{""capture_warmups"": 1, ""compile_model"": true, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2769.6105209179223,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,11.054691975004971,11.071338737383485,11.052247183397412,1447.6693955990288,45740.64136389643,0.000300000000000078,0.00039999999999995595,0,16,16,1.0
gpu-compiled,gpu-compiled.json,"{""capture_warmups"": 1, ""compile_model"": true, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2769.6105209179223,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,8.140305057168007,8.204741531517357,8.123883453663439,123.09383876612031,37971.164513845,0.0006000000000000449,0.0010000000000000009,0,1,1,1.0
gpu-compiled,gpu-compiled.json,"{""capture_warmups"": 1, ""compile_model"": true, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2769.6105209179223,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,88.77525094430894,89.64566086651757,88.93984481692314,179.89687336350715,45709.03207780793,0.0010000000000000009,0.0015999999999999903,0,16,16,1.0
gpu-mixed-bf16,gpu-mixed-bf16.json,"{""capture_warmups"": 1, ""dtype"": ""mixed-bf16"", ""graphs"": true}",4,1,,2179.2294778861105,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,4.48053958825767,4.496594530064613,4.481230978854001,223.15296951190254,607.8115338459611,0.0010999999999999899,0.0033000000000000806,0,1,1,1.0
gpu-mixed-bf16,gpu-mixed-bf16.json,"{""capture_warmups"": 1, ""dtype"": ""mixed-bf16"", ""graphs"": true}",4,1,,2179.2294778861105,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,17.35018112231046,17.407439893577248,17.360259068664163,921.6452321774693,52.33846209011972,0.0007000000000000339,0.0011999999999999789,0,16,16,1.0
gpu-mixed-bf16,gpu-mixed-bf16.json,"{""capture_warmups"": 1, ""dtype"": ""mixed-bf16"", ""graphs"": true}",4,1,,2179.2294778861105,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,11.137770023196936,11.188391444738954,11.137660371605307,89.78546361042133,36.7707391269505,0.000300000000000078,0.00040000000000001146,0,1,1,1.0
gpu-mixed-bf16,gpu-mixed-bf16.json,"{""capture_warmups"": 1, ""dtype"": ""mixed-bf16"", ""graphs"": true}",4,1,,2179.2294778861105,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,140.8632134553045,141.06352896196768,140.8991149510257,113.55642656493156,302.83925705589354,0.0020000000000000018,0.0020000000000000018,0,16,16,1.0
gpu,gpu.json,"{""capture_warmups"": 1, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2211.2163591664284,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,4.473969107493758,4.488811735063791,4.472596454434097,223.58377514890884,690.203808946535,0.00010000000000000286,0.00010000000000010001,0,1,1,1.0
