Workload,Callers,Policy,Requests/s,"p50, ms","p95, ms",Requests,Source
1-long,1,serial-current,131.12,7.562,7.980,48,latency-optimizations/serving/screen-summary.json
1-long,2,serial-current,128.17,15.526,17.224,48,latency-optimizations/serving/screen-summary.json
1-long,4,serial-current,132.46,30.200,32.325,48,latency-optimizations/serving/screen-summary.json
1-long,8,serial-current,131.80,60.106,60.433,48,latency-optimizations/serving/screen-summary.json
1-short,1,serial-current,439.05,2.251,2.438,48,latency-optimizations/serving/screen-summary.json
1-short,2,serial-current,441.22,4.517,4.597,48,latency-optimizations/serving/screen-summary.json
1-short,4,serial-current,435.16,9.196,9.391,48,latency-optimizations/serving/screen-summary.json
1-short,8,serial-current,437.97,18.361,18.570,48,latency-optimizations/serving/screen-summary.json
16-long,1,serial-current,11.22,89.073,89.296,48,latency-optimizations/serving/screen-summary.json
16-long,2,serial-current,11.21,178.464,179.040,48,latency-optimizations/serving/screen-summary.json
16-long,4,serial-current,11.21,357.120,358.286,48,latency-optimizations/serving/screen-summary.json
16-long,8,serial-current,11.24,713.386,714.857,48,latency-optimizations/serving/screen-summary.json
16-short,1,serial-current,89.81,11.069,11.480,48,latency-optimizations/serving/screen-summary.json
16-short,2,serial-current,89.71,22.247,22.778,48,latency-optimizations/serving/screen-summary.json
16-short,4,serial-current,89.89,44.303,45.756,48,latency-optimizations/serving/screen-summary.json
16-short,8,serial-current,89.91,88.930,89.925,48,latency-optimizations/serving/screen-summary.json
mixed,1,serial-current,36.40,9.324,88.827,48,latency-optimizations/serving/screen-summary.json
mixed,2,serial-current,36.25,21.565,95.284,48,latency-optimizations/serving/screen-summary.json
mixed,4,serial-current,36.32,109.913,111.546,48,latency-optimizations/serving/screen-summary.json
mixed,8,serial-current,36.43,218.757,222.775,48,latency-optimizations/serving/screen-summary.json
1-long,1,serial-fifo,126.66,7.677,9.220,48,latency-optimizations/serving/screen-summary.json
1-long,2,serial-fifo,129.33,15.292,16.761,48,latency-optimizations/serving/screen-summary.json
1-long,4,serial-fifo,127.64,31.199,34.151,48,latency-optimizations/serving/screen-summary.json
1-long,8,serial-fifo,129.64,61.166,68.034,48,latency-optimizations/serving/screen-summary.json
1-short,1,serial-fifo,432.89,2.289,2.392,48,latency-optimizations/serving/screen-summary.json
1-short,2,serial-fifo,422.78,4.714,4.806,48,latency-optimizations/serving/screen-summary.json
1-short,4,serial-fifo,422.41,9.479,9.583,48,latency-optimizations/serving/screen-summary.json
1-short,8,serial-fifo,417.09,19.282,19.582,48,latency-optimizations/serving/screen-summary.json
16-long,1,serial-fifo,11.24,89.078,89.368,48,latency-optimizations/serving/screen-summary.json
16-long,2,serial-fifo,11.19,178.607,180.177,48,latency-optimizations/serving/screen-summary.json
16-long,4,serial-fifo,11.20,357.281,359.682,48,latency-optimizations/serving/screen-summary.json
16-long,8,serial-fifo,11.23,714.482,715.143,48,latency-optimizations/serving/screen-summary.json
16-short,1,serial-fifo,91.04,10.940,11.201,48,latency-optimizations/serving/screen-summary.json
